Examples:,Attribute: Alternative,Attribute: Bar,Attribute: Friday,Attribute: Hungry,Attribute: Patron,Attribute: Price,Attribute: Rain,Attribute: Reservation,Attribute: Type,Attribute: Estimated_Time,Goal: Will Wait
1,yes,no,no,yes,some,$$$,no,yes,french,0-10,yes
2,yes,no,no,yes,full,$,no,no,thai,30-60,no
3,no,yes,no,no,some,$,no,no,burger,0-10,yes
4,yes,no,yes,yes,full,$,yes,no,thai,10-30,yes
5,yes,no,yes,no,full,$$$,no,yes,french,>60,no
6,no,yes,no,yes,some,$$,yes,yes,italian,0-10,yes
7,no,yes,no,no,none,$,yes,no,burger,0-10,no
8,no,no,no,yes,some,$$,yes,yes,thai,0-10,yes
9,no,yes,yes,no,full,$,yes,no,burger,>60,no
10,yes,yes,yes,yes,full,$$$,no,yes,italian,10-30,no
11,no,no,no,no,none,$,no,no,thai,0-10,no
12,yes,yes,yes,yes,full,$,no,no,burger,30-60,yes